2019-09-23 10:19:02 startup archives install
2019-09-23 10:19:02 install ubuntu-keyring:all <none> 2018.02.28
2019-09-23 10:19:02 status half-installed ubuntu-keyring:all 2018.02.28
2019-09-23 10:19:02 status unpacked ubuntu-keyring:all 2018.02.28
2019-09-23 10:19:02 status unpacked ubuntu-keyring:all 2018.02.28
2019-09-23 10:19:02 configure ubuntu-keyring:all 2018.02.28 2018.02.28
2019-09-23 10:19:02 status unpacked ubuntu-keyring:all 2018.02.28
2019-09-23 10:19:02 status half-configured ubuntu-keyring:all 2018.02.28
2019-09-23 10:19:02 status installed ubuntu-keyring:all 2018.02.28
2019-09-23 10:19:03 startup archives install
2019-09-23 10:19:04 install base-passwd:armhf <none> 3.5.44
2019-09-23 10:19:04 status half-installed base-passwd:armhf 3.5.44
2019-09-23 10:19:04 status unpacked base-passwd:armhf 3.5.44
2019-09-23 10:19:04 status unpacked base-passwd:armhf 3.5.44
2019-09-23 10:19:04 configure base-passwd:armhf 3.5.44 3.5.44
2019-09-23 10:19:04 status unpacked base-passwd:armhf 3.5.44
2019-09-23 10:19:04 status half-configured base-passwd:armhf 3.5.44
2019-09-23 10:19:04 status installed base-passwd:armhf 3.5.44
2019-09-23 10:19:04 startup archives install
2019-09-23 10:19:05 install base-files:armhf <none> 10.1ubuntu2
2019-09-23 10:19:05 status half-installed base-files:armhf 10.1ubuntu2
2019-09-23 10:19:05 status unpacked base-files:armhf 10.1ubuntu2
2019-09-23 10:19:05 status unpacked base-files:armhf 10.1ubuntu2
2019-09-23 10:19:05 configure base-files:armhf 10.1ubuntu2 10.1ubuntu2
2019-09-23 10:19:05 status unpacked base-files:armhf 10.1ubuntu2
2019-09-23 10:19:05 status unpacked base-files:armhf 10.1ubuntu2
2019-09-23 10:19:05 status unpacked base-files:armhf 10.1ubuntu2
2019-09-23 10:19:05 status unpacked base-files:armhf 10.1ubuntu2
2019-09-23 10:19:05 status unpacked base-files:armhf 10.1ubuntu2
2019-09-23 10:19:05 status unpacked base-files:armhf 10.1ubuntu2
2019-09-23 10:19:05 status unpacked base-files:armhf 10.1ubuntu2
2019-09-23 10:19:05 status unpacked base-files:armhf 10.1ubuntu2
2019-09-23 10:19:05 status unpacked base-files:armhf 10.1ubuntu2
2019-09-23 10:19:05 status unpacked base-files:armhf 10.1ubuntu2
2019-09-23 10:19:05 status unpacked base-files:armhf 10.1ubuntu2
2019-09-23 10:19:05 status unpacked base-files:armhf 10.1ubuntu2
2019-09-23 10:19:05 status unpacked base-files:armhf 10.1ubuntu2
2019-09-23 10:19:05 status half-configured base-files:armhf 10.1ubuntu2
2019-09-23 10:19:07 status installed base-files:armhf 10.1ubuntu2
2019-09-23 10:19:08 startup archives install
2019-09-23 10:19:08 upgrade dpkg 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2019-09-23 10:19:08 status half-configured dpkg 1.19.0.5ubuntu2
2019-09-23 10:19:08 status unpacked dpkg 1.19.0.5ubuntu2
2019-09-23 10:19:08 status half-installed dpkg 1.19.0.5ubuntu2
2019-09-23 10:19:08 status half-installed dpkg 1.19.0.5ubuntu2
2019-09-23 10:19:08 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2019-09-23 10:19:08 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2019-09-23 10:19:08 configure dpkg:armhf 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2019-09-23 10:19:08 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2019-09-23 10:19:08 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2019-09-23 10:19:08 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2019-09-23 10:19:08 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2019-09-23 10:19:08 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2019-09-23 10:19:08 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2019-09-23 10:19:08 status half-configured dpkg:armhf 1.19.0.5ubuntu2
2019-09-23 10:19:08 status installed dpkg:armhf 1.19.0.5ubuntu2
2019-09-23 10:19:09 startup archives install
2019-09-23 10:19:09 install libc6:armhf <none> 2.27-3ubuntu1
2019-09-23 10:19:09 status half-installed libc6:armhf 2.27-3ubuntu1
2019-09-23 10:19:10 status unpacked libc6:armhf 2.27-3ubuntu1
2019-09-23 10:19:10 status unpacked libc6:armhf 2.27-3ubuntu1
2019-09-23 10:19:10 configure libc6:armhf 2.27-3ubuntu1 2.27-3ubuntu1
2019-09-23 10:19:10 status unpacked libc6:armhf 2.27-3ubuntu1
2019-09-23 10:19:10 status unpacked libc6:armhf 2.27-3ubuntu1
2019-09-23 10:19:10 status half-configured libc6:armhf 2.27-3ubuntu1
2019-09-23 10:19:11 status installed libc6:armhf 2.27-3ubuntu1
2019-09-23 10:19:11 startup archives install
2019-09-23 10:19:11 install perl-base:armhf <none> 5.26.1-6
2019-09-23 10:19:11 status half-installed perl-base:armhf 5.26.1-6
2019-09-23 10:19:12 status unpacked perl-base:armhf 5.26.1-6
2019-09-23 10:19:12 status unpacked perl-base:armhf 5.26.1-6
2019-09-23 10:19:12 configure perl-base:armhf 5.26.1-6 5.26.1-6
2019-09-23 10:19:12 status unpacked perl-base:armhf 5.26.1-6
2019-09-23 10:19:12 status half-configured perl-base:armhf 5.26.1-6
2019-09-23 10:19:12 status installed perl-base:armhf 5.26.1-6
2019-09-23 10:19:12 startup archives install
2019-09-23 10:19:12 install mawk:armhf <none> 1.3.3-17ubuntu3
2019-09-23 10:19:12 status half-installed mawk:armhf 1.3.3-17ubuntu3
2019-09-23 10:19:12 status unpacked mawk:armhf 1.3.3-17ubuntu3
